country,LifeExpectancy,PM25,GDPpc,UrbanRate,HealthExp
Poland,78.5,14.2,15800,60.3,6.2
China,76.7,32.6,10400,61.4,5.3
India,69.3,60.1,2100,34.9,3.4
United States,78.8,7.5,65200,82.5,16.6
Germany,80.9,11.2,47500,77.3,11.2
Brazil,75.9,12.9,9500,87.4,9.6
France,82.3,10.5,43200,80.0,11.3
Japan,84.6,9.0,40200,91.8,10.7
South Africa,64.1,25.3,6000,68.0,8.2
Mexico,75.0,18.4,9600,80.5,6.4
United Kingdom,81.2,8.5,45200,84.4,12.1
Canada,82.1,7.2,52000,81.6,10.5
Russia,72.7,14.8,11800,74.7,5.6
Indonesia,71.8,28.6,4200,56.6,3.1
Italy,82.0,11.1,39000,71.1,9.0
Nigeria,55.8,89.4,2400,52.0,3.3
Australia,83.4,6.3,55300,86.2,9.3
Spain,83.1,9.8,38100,82.3,9.1
Argentina,76.3,14.5,10800,92.0,9.4
Turkey,78.3,17.9,13600,76.4,5.0
